,Kanji,Reading,Meaning,Frequency
65,従う,したがう,"[1] to obey (an order, law, etc.); to abide by (a rule, custom, etc.); to follow; to observe; to conform to; to yield to [2] to follow (a person); to accompany; to go with [3] to go alongside (e.g. a river); to follow (e.g. a sign)",982.0
66,従って,したがって,therefore; consequently; accordingly,857.0
67,支度,したく,preparation; arrangements,4930.0
68,親しい,したしい,[1] close (e.g. friend); familiar; friendly; intimate [2] familiar (e.g. story); well-known (to one) [3] close (relatives); closely related,2330.0
69,次第,しだい,"[1] depending on [2] as soon as; immediately after; upon [3] as (e.g. ""as one is told"", ""as one wishes""); whatever (e.g. ""whatever is at hand"")",1127.0
70,質,しつ,[1] quality; value [2] nature; inherent quality; character [3] logical quality,2422.0
71,失業,しつぎょう,[1] unemployment [2] losing one's job; becoming unemployed,
72,失望,しつぼう,disappointment; despair,
73,支店,してん,branch office; branch store,
74,指導,しどう,[1] guidance; leadership; instruction; direction; coaching [2] shido (minor penalty in judo),1325.0
75,品,しな,[1] article; item; thing; goods; stock [2] quality [3] flirtatiousness; coquetry,4222.0
76,支配,しはい,"[1] rule; domination; control [2] direction; management; guidance [3] control (of one's destiny, public opinion, etc.); governing; influence; sway",2328.0
77,支払い,しはらい,payment,3127.0
78,支払う,しはらう,to pay,1906.0
79,芝居,しばい,play; drama,2056.0
80,屡々,しばしば,often; again and again; frequently; repeatedly,2318.0
81,芝生,しばふ,lawn; grass,
82,資本,しほん,funds; capital,3967.0
83,死亡,しぼう,death; dying; mortality,2860.0
84,姉妹,しまい,sisters,
85,仕舞う,しまう,"[1] to finish; to stop; to end; to put an end to; to bring to a close [2] to close (a business, etc.); to close down; to shut down; to shut up [3] to put away; to put back; to keep; to store",1649.0
86,仕舞った,しまった,darn it!; darn!; oops!; oh dear!; oh no!,
87,示す,しめす,"[1] to (take out and) show; to demonstrate; to tell; to exemplify; to make apparent [2] to point out (finger, clock hand, needle, etc.) [3] to indicate; to show; to represent; to signify; to display",449.0
88,占める,しめる,[1] to occupy; to hold [2] to account for; to make up; to take up,984.0
89,下,しも,"[1] lower reaches (of a river) [2] bottom; lower part [3] lower half (of the body, esp. the privates); feces (faeces); urine; menses",
90,霜,しも,[1] frost [2] white hair; grey hair; gray hair,
91,借金,しゃっきん,[1] debt; loan; liabilities; borrowing money [2] number of games under the .500 mark,2755.0
92,喋る,しゃべる,to talk; to chat; to chatter,823.0
93,週,しゅう,week,1588.0
94,州,しゅう,"[1] state (of the US, Australia, India, Germany, etc.); province (e.g. of Canada); county (e.g. of the UK); region (e.g. of Italy); canton; oblast [2] continent [3] province (of Japan)",4619.0
95,周囲,しゅうい,[1] surroundings; environs [2] circumference,1527.0
96,収穫,しゅうかく,[1] harvest; crop; ingathering [2] fruits (of one's labors); gain; result; returns [3] catch (fishing); bag (hunting); haul,3597.0
97,週間,しゅうかん,week,
98,宗教,しゅうきょう,[1] religion; religious affiliation; belief; faith; creed [2] religious activity,1549.0
99,就職,しゅうしょく,finding employment; getting a job,1416.0
100,修正,しゅうせい,amendment; correction; revision; modification; alteration; retouching; update; fix,3645.0
101,集団,しゅうだん,[1] group; mass [2] Shuudan,2518.0
102,集中,しゅうちゅう,"[1] concentration (on a task); focusing one's attention [2] concentration (of population, buildings, power, etc.); centralization; convergence; focus (of a debate, questions, etc.) [3] within a collection of works",1842.0
103,収入,しゅうにゅう,income; earnings; revenue; proceeds; takings; receipts,2012.0
104,修理,しゅうり,repair; mending; fixing; servicing,3553.0
105,主義,しゅぎ,doctrine; rule; principle; -ism,
106,宿泊,しゅくはく,accommodation; lodging,
107,首相,しゅしょう,"prime minister; chancellor (Germany, Austria, etc.); premier",3428.0
108,手術,しゅじゅつ,[1] surgery; operation; procedure [2] skill with one's hands; sleight of hand,1158.0
109,手段,しゅだん,means; way; measure,1606.0
110,主張,しゅちょう,claim; insistence; assertion; advocacy; emphasis; contention; opinion; tenet,1175.0
111,出身,しゅっしん,"one's origin (e.g. city, country, parentage, school)",3056.0
112,出席,しゅっせき,attendance; presence; appearance,2608.0
113,出発,しゅっぱつ,departure; leaving; setting off,1741.0
114,出版,しゅっぱん,publication,3234.0
115,首都,しゅと,capital (city); metropolis,4234.0
116,主婦,しゅふ,housewife; mistress (of the house); homemaker,1878.0
117,主要,しゅよう,chief; main; principal; major,3634.0
118,種類,しゅるい,"[1] variety; kind; type; category [2] counter for kinds, species, etc.",881.0
119,瞬間,しゅんかん,moment; second; instant,1142.0
120,小,しょう,[1] smallness; small item [2] short month (i.e. having fewer than 31 days) [3] elementary school,
121,章,しょう,[1] chapter; section [2] medal; badge; insignia,
122,賞,しょう,prize; award,4533.0
123,障害,しょうがい,[1] obstacle; impediment; hindrance; barrier; difficulty [2] disorder; defect; disability; handicap; impairment; dysfunction [3] steeplechase,1655.0
124,奨学金,しょうがくきん,[1] scholarship; stipend; bursary; grant-in-aid [2] student loan,
125,正午,しょうご,noon; midday,4233.0
126,少々,しょうしょう,just a minute; small quantity,1928.0
127,正直,しょうじき,[1] honest; frank; candid; straightforward [2] honestly; frankly [3] Shoujiki,1409.0
128,少女,しょうじょ,[1] girl (usu. between 7 and 17); young lady [2] female between 17 and 20 years old (ritsuryō period),2251.0
129,症状,しょうじょう,symptoms; condition (of a patient),1708.0
130,生じる,しょうじる,[1] to produce; to yield; to cause [2] to result from; to arise; to be generated,883.0
131,招待,しょうたい,invitation,4593.0
132,承知,しょうち,[1] knowledge; awareness [2] acceptance; consent; assent; agreement; compliance; acknowledgment; acknowledgement [3] forgiving; pardoning; excusing,2177.0
133,衝突,しょうとつ,[1] collision; crash; impact; running into [2] clash; skirmish; conflict; discord; quarrel; brush,4315.0
134,商人,しょうにん,[1] merchant; trader; tradesman; dealer; shopkeeper [2] Akindo,
135,承認,しょうにん,recognition; acknowledgement; acknowledgment; approval; consent; agreement,3103.0
136,少年,しょうねん,[1] boy [2] juvenile; child,1023.0
137,商売,しょうばい,[1] trade; business; commerce [2] occupation; calling; profession; job,2269.0
138,消費,しょうひ,consumption; expenditure; spending,3027.0
139,商品,しょうひん,commodity; article of commerce; goods; stock; merchandise,882.0
140,消防,しょうぼう,[1] fire fighting [2] fire department; fire brigade; firefighter,
141,証明,しょうめい,proof; testimony; demonstration; verification; certification,1956.0
142,職,しょく,[1] job; work; employment; occupation; position [2] duties [3] trade; skill,3961.0
143,職業,しょくぎょう,occupation; profession; job; vocation; trade; calling; business,2414.0
144,食事,しょくじ,[1] meal; dinner [2] diet,575.0
145,食卓,しょくたく,dining table,4297.0
146,食品,しょくひん,food; food products; foodstuffs,2401.0
147,植物,しょくぶつ,plant; vegetation,1601.0
148,食物,しょくもつ,food; foodstuff,4773.0
149,食欲,しょくよく,appetite (for food),4325.0
150,食料,しょくりょう,food,2123.0
151,食糧,しょくりょう,food (esp. staple food such as rice or wheat); provisions; rations; food supply,
152,書斎,しょさい,study; library; den; home office; reading room,
153,署名,しょめい,signature,4988.0
154,書物,しょもつ,book; volume,4883.0
155,処理,しょり,processing; dealing with; treatment; disposition; disposal,1480.0
156,書類,しょるい,document; papers,2445.0
157,使用,しよう,use; application; employment; utilization; utilisation,585.0
158,知らせ,しらせ,[1] news; word; tidings; notice; notification; information [2] omen; foreboding; premonition,
159,尻,しり,[1] buttocks; behind; rump; bottom; hips [2] undersurface; bottom [3] last place; end,2799.0
160,印,しるし,[1] mark; sign [2] symbol; emblem [3] badge; crest; flag,4463.0
161,城,しろ,castle,2304.0
162,進学,しんがく,"advancing to the next stage of education; going on to (high school, college, etc.)",4648.0
163,神経,しんけい,[1] nerve [2] nerves; sensitivity,3035.0
164,真剣,しんけん,[1] serious; earnest [2] real sword (as opposed to a wooden practice weapon),1959.0
165,信仰,しんこう,(religious) faith; belief; creed,3300.0
166,深刻,しんこく,serious; severe; grave; acute,2928.0
167,信号,しんごう,[1] signal; signalling; signaling [2] traffic light; traffic signal,3773.0
168,診察,しんさつ,medical examination; checkup; consultation,4984.0
169,信じる,しんじる,to believe; to believe in; to place trust in; to confide in; to have faith in,718.0
170,親戚,しんせき,relative; relation; kin,2274.0
171,新鮮,しんせん,fresh,2243.0
172,心臓,しんぞう,[1] heart [2] guts; nerve; cheek; gall; spine [3] heart (of something); central part,2564.0
173,身長,しんちょう,height (of a person); stature,3043.0
174,慎重,しんちょう,careful; cautious; prudent; discreet; deliberate,2984.0
175,心配,しんぱい,[1] worry; concern; anxiety; uneasiness; fear [2] care; help; aid; assistance,560.0
176,審判,しんぱん,[1] judgement; judgment; decision; verdict; sentence [2] refereeing; umpiring; judging [3] judgement (of God),
177,進歩,しんぽ,progress; advance; improvement; development,2797.0
178,親友,しんゆう,close friend; bosom friend; buddy; crony; chum,3541.0
179,信用,しんよう,[1] confidence; trust; faith; reputation [2] credit,2439.0
180,信頼,しんらい,trust (in); confidence; faith; reliance,2096.0
181,心理,しんり,state of mind; mentality; psychology,4310.0
182,ジェット機,ジェットき,jet aeroplane; jet airplane,
183,直に,じかに,directly; in person; firsthand,
184,時期,じき,time; season; period; phase; stage,446.0
185,事件,じけん,event; affair; incident; case; plot; trouble; scandal,547.0
186,時刻,じこく,[1] time; (the) hour [2] favourable time; opportunity; chance,
187,自殺,じさつ,suicide,2501.0
188,自身,じしん,(one's) self; oneself; yourself; himself; herself,3551.0
189,事実,じじつ,fact; truth; reality,702.0
190,事情,じじょう,circumstances; conditions; situation; reasons; state of affairs,1277.0
191,事態,じたい,situation; (present) state of affairs; circumstances,1839.0
192,実験,じっけん,experiment; experimentation,2217.0
193,実行,じっこう,[1] execution (e.g. of a plan); carrying out; (putting into) practice; action; implementation; fulfillment; realization [2] execution (of a program); run,1726.0
194,実際,じっさい,[1] reality; actuality; truth; fact; actual conditions [2] practice (as opposed to theory) [3] truly; really; indeed; actually,242.0
195,実施,じっし,enforcement; implementation; putting into practice; carrying out; operation; working (e.g. working parameters); enactment,581.0
196,凝乎と,じっと,"[1] motionlessly (e.g. stand, wait); (be) still [2] fixedly (e.g. gaze, stare); intently (e.g. listen, think) [3] patiently (endure); stoically",1676.0
197,実現,じつげん,implementation (e.g. of a system); materialization; materialisation; realization; realisation; actualization; actualisation,1083.0
198,実は,じつは,as a matter of fact; by the way; to tell you the truth; to be honest; frankly,926.0
199,自動,じどう,[1] automatic [2] intransitive verb,
200,自慢,じまん,pride; boast,2706.0
201,事務,じむ,office work; clerical work; administration; business; affairs,3993.0
202,邪魔,じゃま,[1] hindrance; obstacle; nuisance; disturbance; interruption; interference [2] to visit (someone's home) [3] demon who hinders Buddhist training; demon who obstructs sentient beings from maintaining moral behaviour,2616.0
203,銃,じゅう,gun; rifle; small arms,4546.0
204,重視,じゅうし,regarding as important; attaching importance to; taking a serious view of; putting emphasis on,2487.0
205,渋滞,じゅうたい,[1] (traffic) congestion; traffic jam; gridlock [2] delay; stagnation,4461.0
206,住宅,じゅうたく,residence; housing; residential building,2183.0
207,重大,じゅうだい,serious; important; significant; grave; weighty,3118.0
208,住民,じゅうみん,inhabitant; resident; citizen; population,1985.0
209,重要,じゅうよう,important; essential; significant; major; key; principal,485.0
210,需要,じゅよう,demand; request,2923.0
211,順,じゅん,[1] order; turn; sorting [2] obedient; docile; submissive; meek,2878.0
212,順調,じゅんちょう,favourable; favorable; doing well; OK; all right,3007.0
213,順番,じゅんばん,order; turn,2811.0
214,準備,じゅんび,preparation; arrangements; getting ready; provision; setup; reserving,934.0
215,,ジュース,[1] juice [2] soft drink (usu. fruit-based); sweetened drink,4264.0
216,上,じょう,[1] from the standpoint of; from the viewpoint of; with respect to; in terms of; as a matter of; in view of; so far as ... is concerned [2] on; above; on top of; aboard (a ship or vehicle) [3] the best; top; first class; first grade,
217,乗客,じょうきゃく,passenger,
218,状況,じょうきょう,state of affairs; situation; conditions; circumstances,353.0
219,上京,じょうきょう,going (up) to the capital; going to Tokyo,4673.0
220,条件,じょうけん,condition; term; requirement; qualification; prerequisite,972.0
221,常識,じょうしき,common sense; good sense; common knowledge; general knowledge; common practice; accepted practice; social etiquette,2756.0
222,状態,じょうたい,state; condition; situation; appearance; circumstances,303.0
223,上達,じょうたつ,"[1] improvement (e.g. in skill, ability); advance; progress [2] communication of opinions of the general populace to those of high rank",4001.0
224,冗談,じょうだん,joke; jest; funny story,2856.0
225,上等,じょうとう,[1] superior; first-class; excellent; top quality [2] (that's) just fine!; bring it on!,
226,情報,じょうほう,"[1] information; news; report; intelligence [2] information (data contained in characters, signals, code, etc.)",473.0
227,女王,じょおう,[1] queen [2] female champion,
228,助手,じょしゅ,[1] assistant; helper [2] assistant (to a professor); research assistant,
229,徐々,じょじょ,[1] slow; gradual; steady [2] calm; composed; relaxed,1879.0
230,女優,じょゆう,actress; female actor,
231,人工,じんこう,artificial; man-made; human work; human skill; artificiality,
232,人種,じんしゅ,[1] race (of people) [2] type of person,4124.0
233,人生,じんせい,(one's) life,405.0
234,人物,じんぶつ,[1] person; character; figure; personage; man; woman [2] one's character; one's personality [3] able person; talented person,1344.0
235,人類,じんるい,mankind; humanity,1776.0
236,,ジーンズ,[1] jeans [2] denim; jean,
237,州,す,sandbank; sandbar,
238,巣,す,[1] nest; rookery; breeding place; hive [2] den [3] haunt,2857.0
239,水準,すいじゅん,[1] level; standard [2] water level,3426.0
240,推薦,すいせん,recommendation; referral; endorsement,
241,,スイッチ,[1] switch [2] switch; points [3] switch (from one thing to another); change,4254.0
242,睡眠,すいみん,sleep,4782.0
243,数,すう,[1] several; a few; a number of [2] number; quantity; amount [3] counting; calculation; figures; numbers,
244,数字,すうじ,[1] numeral; digit; numeric character [2] figure; number [3] a few characters,1420.0
245,末,すえ,"[1] end; tip; top [2] end (of the year, month, etc.); close [3] youngest child",2679.0
246,姿,すがた,[1] figure; form; shape [2] appearance; dress; guise [3] state; condition; picture; image,444.0
247,,スキー,[1] skiing [2] ski; skis,1432.0
248,空く,すく,[1] to become less crowded; to thin out; to get empty [2] to be hungry,3311.0
249,救う,すくう,to rescue from; to help out of; to save,2471.0
250,優れる,すぐれる,to be better (than); to be superior; to surpass; to excel; to be excellent,1711.0
251,,スケート,skating (esp. ice); skate; skates,
252,少しも,すこしも,(not) at all; (not) a bit; (not) in the least; (not) in the slightest,
253,過ごす,すごす,[1] to spend (time); to pass; to lead (a life); to live [2] to overdo (esp. alcohol consumption); to drink (alcohol); to carry too far; to carry to excess [3] to take care of; to support,556.0
254,筋,すじ,"[10] source (of information, etc.); circle; channel [11] well-informed person (in a transaction) [12] logical move (in go, shogi, etc.)",3239.0
255,進める,すすめる,"[1] to advance; to move forward; to put (a clock, watch) forward [2] to carry forward (plans, work, etc.); to proceed with; to make progress in; to further; to advance; to hasten; to speed up [3] to raise; to elevate; to promote; to develop; to stimulate (e.g. one's appetite)",677.0
256,勧める,すすめる,"[1] to recommend (someone to do); to advise; to encourage; to urge [2] to recommend (a book, someone for a position, etc.); to suggest [3] to offer (a drink, cigarette, seat, etc.)",1057.0
257,,スタイル,[1] (one's) figure; build; physique; shape [2] style,2312.0
258,,スタンド,[1] stands; bleachers [2] stand (e.g. newspaper stand); counter (e.g. lunch counter) [3] stand (e.g. inkstand),
259,,スター,"[1] star (actor, athlete, etc.); celebrity [2] star (symbol); asterisk [3] (celestial) star",
260,素敵,すてき,lovely; wonderful; nice; great; splendid; marvellous; fantastic; superb,1516.0
261,既に,すでに,[1] already [2] previously; before [3] undeniably; unmistakably; in the first place,463.0
262,即ち,すなわち,[1] that is (to say); namely; i.e. [2] precisely; exactly; just; nothing but; neither more nor less [3] (and) then,922.0
263,素晴らしい,すばらしい,wonderful; splendid; magnificent,712.0
264,,スピーチ,speech,2967.0
265,全て,すべて,[1] everything; all; the whole [2] entirely; completely; wholly; all,266.0
266,済ませる,すませる,[1] to finish; to make an end of; to get through with; to let end [2] to make do (with); to manage (with) [3] to resolve; to settle; to bring to a conclusion,
267,済みません,すみません,[1] excuse me; pardon me; I'm sorry; I beg your pardon [2] thank you; you shouldn't have; it's too much,1640.0
268,鋭い,するどい,"[1] sharp (knife, claws, etc.); pointed [2] sharp (pain, tone, etc.); acute; stabbing; cutting (remark, criticism, etc.); stinging; biting; fierce (attack); pointed (question, look, etc.); piercing (gaze); shrill (sound) [3] keen (intuition, sense of smell, etc.); acute; sharp (eye, mind, etc.); astute; shrewd; discerning; penetrating (insight, question, etc.); perceptive",2951.0
269,,スープ,(Western) soup,2500.0
270,図,ず,[1] drawing; picture; diagram; figure; illustration; chart; graph; map [2] sight; scene,517.0
271,随分,ずいぶん,[1] very; extremely; surprisingly; fairly; quite; considerably; awfully; terribly [2] terrible; horrid; contemptible; reprehensible [3] remarkable; extraordinary,827.0
272,,ずっと,"[1] continuously; the whole time; all the way; throughout [2] much (more); (by) far; far and away; a lot; a great deal [3] far (away); long (ago, before, after)",253.0
273,頭痛,ずつう,headache,
274,正,せい,[1] (logical) true; regular [2] 10^40; ten duodecillion [3] original,
275,背,せい,height; stature,
276,所為,せい,consequence; outcome; result; blame; fault,
277,性,せい,"[1] nature (of a person) [2] sex; gender [3] sex (i.e. sexual attraction, activity, etc.)",4516.0
278,性格,せいかく,"[1] character (of a person); personality; disposition; nature [2] characteristics; nature (of a thing, event, etc.)",911.0
279,正確,せいかく,accurate; correct; precise; exact,1619.0
280,世紀,せいき,[1] century [2] era [3] of the century (e.g. fight of the century),
281,請求,せいきゅう,claim; demand; charge; application; request; billing (for a service),2283.0
282,清潔,せいけつ,[1] clean; hygienic; sanitary [2] pure; virtuous; immaculate,
283,制限,せいげん,restriction; restraint; limitation; limit,2216.0
284,成功,せいこう,[1] success; achievement [2] succeeding (in life); (worldly) success; prosperity,1105.0
285,正式,せいしき,formal; official; regular; proper; legal; due (formalities),3157.0
286,精神,せいしん,[1] mind; spirit; soul; heart; ethos [2] attitude; mentality; will; intention [3] spirit (of a matter); essence; fundamental significance,1769.0
287,成人,せいじん,"[1] adult; grownup [2] becoming an adult; coming of age; growing up (to be a man, woman)",4438.0
288,成績,せいせき,results; record; grades; marks,2343.0
289,精々,せいぜい,[1] at the most; at best [2] to the utmost; as much as possible; as much as one can,3513.0
290,製造,せいぞう,manufacture; production,3096.0
291,成長,せいちょう,"[1] growth; development; growing up; becoming an adult [2] growth (of a company, the economy, etc.)",1019.0
292,制度,せいど,system; institution; organization; organisation,1235.0
293,青年,せいねん,youth; young man,2946.0
294,製品,せいひん,manufactured goods; finished goods; product,1911.0
295,政府,せいふ,government; administration; ministry,1037.0
296,生物,せいぶつ,[1] living thing; organism; creature; life [2] biology,2437.0
297,生命,せいめい,[1] life; existence [2] (one's) working life; career [3] life force; lifeblood; soul; essence,2278.0
298,整理,せいり,[1] sorting; arrangement; organization; putting in order; adjustment; regulation [2] liquidation; settlement; consolidation; clearance (e.g. debt); paying off [3] retrenchment; curtailment; cutting down; disposal,2049.0
299,咳,せき,cough; coughing; tussis,
300,石炭,せきたん,coal,
301,責任,せきにん,[1] duty; responsibility (incl. supervision of staff) [2] liability; onus,951.0
302,石油,せきゆ,[1] oil; petroleum [2] kerosene; paraffin,4354.0
303,世間,せけん,world; society; people; the public,2092.0
304,積極的,せっきょくてき,positive; assertive; active; proactive; aggressive,1202.0
305,設計,せっけい,plan; design; layout,2614.0
306,,セット,[1] set (of things); combo [2] setting up; preparing; arranging; placing; positioning; configuring; setting (e.g. an alarm) [3] setting (hair),2293.0
307,説,せつ,[1] theory; doctrine [2] opinion; view [3] rumour; rumor; gossip; hearsay,2523.0
308,設備,せつび,equipment; facilities; installation; accommodations; conveniences; arrangements,3021.0
309,節約,せつやく,economising; saving,4108.0
310,責める,せめる,[1] to condemn; to blame; to criticize; to criticise; to reproach; to accuse [2] to urge; to press; to pester [3] to torture; to torment; to persecute,4720.0
311,世話,せわ,[1] care; looking after; help; assistance; aid [2] trouble; bother [3] good offices; recommendation; introduction,1270.0
312,専攻,せんこう,major subject; special study,
313,選手,せんしゅ,player (of a sport); athlete; team member,986.0
314,先日,せんじつ,the other day; a few days ago,1396.0
315,選択,せんたく,choice; selection; option,952.0
316,,センター,[1] centre; center [2] center fielder [3] Senta,4205.0
317,税,ぜい,tax,
318,税金,ぜいきん,tax; duty,2625.0
319,贅沢,ぜいたく,[1] luxury; extravagance [2] to live in luxury; to indulge oneself [3] lavish (use of something); abundant; copious; wasteful,3254.0
320,絶対,ぜったい,[1] absolutely; definitely; unconditionally [2] absolute; unconditional; unmistakable [3] absoluteness,424.0
321,是非,ぜひ,[1] certainly; without fail [2] right and wrong; pros and cons,631.0
322,善,ぜん,good; goodness; right; virtue,
323,全員,ぜんいん,all members; all hands; everyone; everybody; whole crew,1341.0
324,全国,ぜんこく,the whole country,1268.0
325,前者,ぜんしゃ,the former; the first,4249.0
326,前進,ぜんしん,advance; moving forward; progress,
327,全然,ぜんぜん,[1] (not) at all; (not) in the slightest [2] wholly; entirely; completely; totally [3] extremely; very,306.0
328,全体,ぜんたい,"[1] whole; entirety [2] to begin with; in the first place [3] ... the heck (e.g. ""what the heck?""); ... in the world (e.g. ""why in the world?""); ... on earth (e.g. ""who on earth?"")",1088.0
329,騒音,そうおん,noise; din,
330,操作,そうさ,[1] operation; management; handling [2] manipulating (to one's benefit); manipulation; influencing,2462.0
331,想像,そうぞう,imagination; supposition; guess,925.0
332,相続,そうぞく,[1] succession [2] inheritance,
333,相談,そうだん,consultation; discussion; discussing; asking (someone) for advice,844.0
334,装置,そうち,[1] equipment; device; installation; apparatus [2] stage setting,4667.0
335,相当,そうとう,"[1] corresponding to (in meaning, function, etc.); being equivalent to [2] appropriate; suitable; befitting; proportionate [3] to be proportionate to; to be in keeping with; to be deserving of; to be worthy of",981.0
336,速度,そくど,[1] speed; velocity; pace; rate [2] velocity,3780.0
337,底,そこ,bottom; sole,1760.0
338,其処で,そこで,so; accordingly; now; then; thereupon; therefore,1629.0
339,組織,そしき,"[1] organization; organisation; formation [2] structure; construction; setup; constitution [3] system (e.g. railroad, transport, party, etc.)",1298.0
340,注ぐ,そそぐ,[1] to pour (into) [2] to sprinkle on (from above); to water (e.g. plants); to pour onto; to spray [3] to shed (tears),2286.0
341,育つ,そだつ,to be raised (e.g. child); to be brought up; to grow (up),903.0
342,,そっくり,[1] all; altogether; entirely; completely [2] exactly alike (e.g. in appearance); spitting image of; identical; strikingly similar,3934.0
343,率土,そっと,ends of the earth; outer reaches; borderland,2568.0
344,袖,そで,"[1] sleeve [2] wing (of a stage, desk, gate, etc.) [3] flap (of a dust jacket)",
345,備える,そなえる,[1] to furnish with; to equip with; to provide; to install [2] to prepare for; to make preparations for; to make provision for [3] to possess (all that is needed); to be endowed with; to be equipped with,2181.0
346,その内,そのうち,[1] before very long; soon; someday; one of these days; sooner or later [2] of the previously mentioned; of that number; among them; among others,
347,其のまま,そのまま,[1] without change; as is [2] just like; extremely similar [3] immediately; just after; without a pause,
348,,ソファ,sofa; couch,3866.0
349,粗末,そまつ,crude; rough; plain; humble; shabby; poor-quality; low-quality,
350,其れ其れ,それぞれ,each; respectively,367.0
351,其れでも,それでも,but (still); and yet; nevertheless; even so; notwithstanding,561.0
352,其れとも,それとも,or; or else,1492.0
353,損,そん,[1] loss; damage; harm; unprofitable [2] disadvantage; handicap; drawback; unfavorable,4042.0
354,損害,そんがい,damage; injury; loss,4774.0
355,尊敬,そんけい,respect; esteem; reverence; honour; honor,2986.0
356,存在,そんざい,existence; being; presence,423.0
357,尊重,そんちょう,respect; esteem; regard,3624.0
358,象,ぞう,elephant (Elephantidae spp.),4700.0
359,増加,ぞうか,increase; rise; growth; addition; increment,800.0
0,田,た,rice field,
1,他,た,other (esp. people and abstract matters),
2,体育,たいいく,physical education; PE; gym (class),4005.0
3,体温,たいおん,body temperature,
4,大会,たいかい,[1] mass meeting; convention; rally; conference; assembly; gathering [2] tournament; competition; contest; meet [3] grand event,2145.0
5,退屈,たいくつ,[1] tedious; boring; dull; uninteresting; tiresome; monotonous [2] to feel bored; to get bored (with); to get tired (of),
6,滞在,たいざい,stay; sojourn,2749.0
7,大使,たいし,ambassador,
8,大した,たいした,considerable; great; important; significant; a big deal,1900.0
9,対象,たいしょう,"target; object (of worship, study, etc.); subject (of taxation, etc.); coverage",618.0
10,対する,たいする,"[1] to face (each other); to be facing [2] to be directed toward (the future, etc.); to be in response to; to be related to [3] to receive (a client, etc.)",1771.0
11,大戦,たいせん,[1] great war; great battle [2] world war,
12,態度,たいど,"[1] attitude; manner; behaviour; demeanour; bearing [2] attitude (towards an issue, etc.); position; stance; stand",1266.0
13,大半,たいはん,[1] majority; more than half; most (of) [2] mostly; largely; mainly; predominately; nearly,2954.0
14,,タイプライター,typewriter,
15,逮捕,たいほ,arrest; apprehension; capture,2547.0
16,太陽,たいよう,Sun,1514.0
17,平ら,たいら,[1] flat; level; even; smooth [2] calm; tranquil; placid; composed; stable [3] relaxed (sitting posture); comfortable,4429.0
18,大陸,たいりく,[1] continent [2] continental Asia (esp. mainland China) [3] continental Europe,
19,倒す,たおす,[1] to throw down; to bring down; to blow down; to fell; to knock down; to set (something) down on its side; to turn (something) on its side; to recline (e.g. a seat) [2] to kill; to defeat; to beat [3] to overthrow; to trip up; to ruin,3998.0
20,,タオル,towel,3801.0
21,宝,たから,treasure,
22,互い,たがい,each other; one another,647.0
23,宅,たく,[1] house; home [2] one's house; one's home [3] one's husband,
24,確かめる,たしかめる,to make sure; to check; to ascertain; to confirm; to verify,2219.0
25,多少,たしょう,[1] a little; some; somewhat; slightly; to some degree; to some extent [2] amount; quantity; number,1098.0
26,助ける,たすける,[1] to save; to rescue; to spare [2] to help; to assist [3] to support (financially); to contribute (to); to provide aid,1282.0
27,戦い,たたかい,"[1] battle; war; fight; conflict [2] fight (against time, poverty, etc.); struggle (for freedom, survival, etc.); war (e.g. on drugs); battle (e.g. against nature) [3] contest; competition; match; game",1633.0
28,戦う,たたかう,"[1] to make war (on); to wage war (against); to go to war (with); to fight (with); to do battle (against) [2] to compete (against) [3] to struggle (against adversities, etc.); to fight; to contend; to resist",1495.0
29,叩く,たたく,[1] to strike; to hit; to beat; to knock; to pound; to bang; to slap; to spank; to tap; to pat; to clap (one's hands); to play (the drums) [2] to attack; to bash; to criticize; to censure; to flame (on the Internet) [3] to sound out (someone's views),1204.0
30,只,ただ,[1] ordinary; common; usual [2] free of charge [3] unaffected; as is; safe,1453.0
31,直ちに,ただちに,"[1] at once; immediately; right away; without delay [2] directly (face, lead to, etc.); automatically (mean, result in, etc.)",3089.0
32,立ち上がる,たちあがる,[1] to stand up; to get up; to rise (to one's feet) [2] to recover; to regain one's energy; to rise [3] to (stand up and) take action; to rise up (against); to start (doing),1804.0
33,立場,たちば,[1] position; situation [2] viewpoint; standpoint; point of view,772.0
34,達する,たっする,to reach; to get to; to arrive at,1499.0
35,,たった,only; merely; but; no more than,2776.0
36,,たっぷり,"[1] plentifully; amply; abundantly; copiously; generously; fully; a lot [2] loosely; with room to spare; with enough space; (large) enough [3] a good (e.g. two weeks, ten kilometres); a full; at least; no less than",1971.0
37,経つ,たつ,to pass (of time); to elapse,477.0
38,例え,たとえ,[1] example [2] simile; metaphor; allegory; fable; parable,1544.0
39,谷,たに,valley,4197.0
40,他人,たにん,[1] another person; other people; others [2] unrelated person (i.e. not related by blood) [3] outsider; stranger,1075.0
41,種,たね,[1] seed (e.g. of a plant); pip; kernel; stone (e.g. of a peach) [2] progeny; offspring; issue; breed [3] paternal blood; lineage,2444.0
42,束,たば,bundle; bunch; sheaf,
43,度,たび,"time (three times, each time, etc.); times",969.0
44,旅,たび,travel; trip; journey,941.0
45,度々,たびたび,often; again and again; over and over again; repeatedly; frequently,3825.0
46,玉,たま,[10] gem; jewel (esp. spherical; sometimes used figuratively); pearl [11] female entertainer (e.g. a geisha) [12] person (when commenting on their nature); character,3005.0
